Time_s,X_m,Y_m
0.0,0.08,0.0
0.1,1.52,1.43
0.2,3.1,2.87
0.3,4.79,4.14
0.4,6.26,5.32
0.5,7.99,6.42
0.6,9.57,7.44
0.7,11.0,8.32
0.8,12.69,9.09
0.9,14.21,9.8
1.0,15.76,10.37
1.1,17.4,10.92
1.2,19.05,11.25
1.3,20.57,11.55
1.4,22.22,11.82
1.5,23.71,11.9
1.6,25.34,11.86
1.7,26.95,11.81
1.8,28.53,11.62
1.9,29.99,11.31
2.0,31.57,10.99
2.1,33.29,10.5
2.2,34.79,9.84
2.3,36.46,9.25
2.4,37.91,8.42
2.5,39.49,7.58
2.6,41.19,6.54
2.7,42.72,5.51
2.8,44.27,4.37
2.9,45.88,3.04
3.0,47.48,1.73
3.1,49.01,0.22
3.2,50.72,0
