Time_s,X_m,Y_m
0.0,-0.01,0.0
0.1,1.51,1.87
0.2,3.12,3.7
0.3,4.68,5.36
0.4,6.22,7.0
0.5,7.82,8.53
0.6,9.5,9.85
0.7,10.97,11.21
0.8,12.54,12.37
0.9,14.23,13.52
1.0,15.73,14.55
1.1,17.36,15.41
1.2,18.82,16.24
1.3,20.44,16.96
1.4,22.06,17.6
1.5,23.68,18.07
1.6,25.16,18.51
1.7,26.8,18.83
1.8,28.27,19.07
1.9,29.88,19.19
2.0,31.43,19.28
2.1,33.03,19.21
2.2,34.62,18.96
2.3,36.27,18.77
2.4,37.83,18.42
2.5,39.39,17.88
2.6,40.9,17.33
2.7,42.46,16.66
2.8,44.03,15.99
2.9,45.59,15.12
3.0,47.19,14.13
3.1,48.85,13.14
3.2,50.35,11.97
3.3,51.86,10.68
3.4,53.57,9.36
3.5,55.07,7.94
3.6,56.57,6.38
3.7,58.21,4.77
3.8,59.73,3.05
3.9,61.29,1.14
4.0,62.95,0
