Time_hr,Relative_Brightness
0.0,0.99894
0.1,0.99848
0.2,1.00156
0.3,0.99898
0.4,1.00038
0.5,1.00048
0.6,0.99968
0.7,1.00033
0.8,1.00009
0.9,1.00174
1.0,0.99882
1.1,1.00086
1.2,0.99895
1.3,0.99958
1.4,1.00069
1.5,0.9992
1.6,0.99926
1.7,1.00101
1.8,0.99829
1.9,0.99983
2.0,1.00199
2.1,1.00198
2.2,0.99829
2.3,0.99885
2.4,0.99906
2.5,1.00173
2.6,1.00152
2.7,1.00152
2.8,0.99948
2.9,0.99863
3.0,1.00133
3.1,1.00081
3.2,1.00045
3.3,1.00195
3.4,1.00062
3.5,0.99803
3.6,1.00127
3.7,0.9992
3.8,1.00065
3.9,1.00176
4.0,0.99854
4.1,0.99846
4.2,0.99843
4.3,1.00021
4.4,0.99909
4.5,1.00042
4.6,1.00087
4.7,0.99881
4.8,1.00054
4.9,0.99906
5.0,0.99995
5.1,1.00162
5.2,1.00138
5.3,0.99837
5.4,0.99969
5.5,0.99911
5.6,0.99801
5.7,1.00108
5.8,1.00055
5.9,0.99905
6.0,1.00096
6.1,1.00021
6.2,0.99971
6.3,0.99804
6.4,0.9983
6.5,1.00153
6.6,1.00162
6.7,1.00018
6.8,1.00134
6.9,1.00033
7.0,0.99859
7.1,0.99851
7.2,0.99923
7.3,1.0016
7.4,1.00118
7.5,1.00144
7.6,1.0016
7.7,0.99884
7.8,0.999
7.9,0.99841
8.0,1.00112
8.1,1.00154
8.2,0.99963
8.3,1.00048
8.4,0.99862
8.5,1.00172
8.6,1.00146
8.7,1.0019
8.8,1.00124
8.9,1.00151
9.0,0.99808
9.1,1.00092
9.2,0.99928
9.3,1.00166
9.4,1.00111
9.5,1.0013
9.6,1.00102
9.7,0.99875
9.8,1.00069
9.9,0.99779
10.0,1.00061
10.1,1.00024
10.2,0.9973
10.3,0.99917
10.4,0.99713
10.5,0.99577
10.6,0.99686
10.7,0.99357
10.8,0.9916
10.9,0.991
11.0,0.99016
11.1,0.99084
11.2,0.98974
11.3,0.98548
11.4,0.98547
11.5,0.98315
11.6,0.98427
11.7,0.9815
11.8,0.98237
11.9,0.97862
12.0,0.98188
12.1,0.97887
12.2,0.98247
12.3,0.98042
12.4,0.98078
12.5,0.98329
12.6,0.98582
12.7,0.98562
12.8,0.98829
12.9,0.98942
13.0,0.99038
13.1,0.99254
13.2,0.99253
13.3,0.99549
13.4,0.99368
13.5,0.99825
13.6,0.99745
13.7,0.99879
13.8,0.99938
13.9,0.99949
14.0,0.99858
14.1,0.99764
14.2,1.0002
14.3,0.999
14.4,0.99903
14.5,1.00124
14.6,1.00078
14.7,0.99913
14.8,0.99919
14.9,0.99961
15.0,0.99959
15.1,0.99917
15.2,0.9985
15.3,0.99968
15.4,1.00176
15.5,1.00071
15.6,1.00161
15.7,1.00046
15.8,0.9992
15.9,1.00019
16.0,0.998
16.1,0.99915
16.2,0.99972
16.3,1.00032
16.4,1.00062
16.5,0.99986
16.6,0.99977
16.7,0.99885
16.8,0.99989
16.9,1.0016
17.0,1.00118
17.1,0.99868
17.2,0.99834
17.3,1.00006
17.4,1.00053
17.5,0.99934
17.6,1.00127
17.7,1.001
17.8,1.00069
17.9,0.9989
18.0,0.9988
18.1,0.9981
18.2,0.99898
18.3,0.9999
18.4,1.0014
18.5,0.99829
18.6,0.99966
18.7,1.00052
18.8,0.99878
18.9,1.00079
19.0,0.99998
19.1,0.99898
19.2,1.00062
19.3,0.99802
19.4,1.001
19.5,1.00108
19.6,0.99843
19.7,0.9997
19.8,0.9987
19.9,1.00183
20.0,1.00007
20.1,0.9982
20.2,0.999
20.3,1.00139
20.4,0.99983
20.5,1.00121
20.6,1.00067
20.7,1.00195
20.8,1.00038
20.9,1.0018
21.0,1.00157
21.1,1.00045
21.2,1.00088
21.3,1.00002
21.4,1.00132
21.5,1.00019
21.6,1.00159
21.7,1.00097
21.8,0.9999
21.9,0.99904
22.0,0.99899
22.1,1.00055
22.2,1.00106
22.3,1.00009
22.4,1.00051
22.5,0.9991
22.6,0.99831
22.7,0.99914
22.8,0.99909
22.9,0.99928
23.0,1.00016
23.1,0.99855
23.2,0.99893
23.3,1.00078
23.4,1.00083
23.5,0.99826
23.6,0.99963
23.7,1.00017
23.8,0.99966
23.9,0.99883
24.0,0.99968
