Time_hr,Relative_Brightness
0.0,1.00162
0.1,1.00034
0.2,1.00078
0.3,1.00143
0.4,1.00106
0.5,0.99952
0.6,0.99802
0.7,0.99941
0.8,1.00101
0.9,1.00141
1.0,1.00181
1.1,0.99968
1.2,1.00099
1.3,1.00018
1.4,1.00041
1.5,0.99888
1.6,0.99888
1.7,0.99974
1.8,0.99812
1.9,0.99934
2.0,1.00072
2.1,0.99962
2.2,0.99866
2.3,0.99987
2.4,0.99851
2.5,1.00049
2.6,0.99811
2.7,0.99958
2.8,1.00026
2.9,0.99811
3.0,1.00057
3.1,0.99854
3.2,0.99985
3.3,0.9982
3.4,0.99952
3.5,0.99885
3.6,0.99931
3.7,1.00104
3.8,0.99952
3.9,1.00101
4.0,1.00133
4.1,0.99901
4.2,0.99833
4.3,0.99808
4.4,1.00016
4.5,1.002
4.6,0.9994
4.7,1.0006
4.8,1.00112
4.9,1.00061
5.0,1.00102
5.1,1.0018
5.2,0.9988
5.3,0.99808
5.4,0.99861
5.5,0.9985
5.6,1.00068
5.7,1.00026
5.8,0.99887
5.9,1.0008
6.0,1.00107
6.1,0.99867
6.2,1.00043
6.3,1.00099
6.4,0.99846
6.5,1.00128
6.6,1.00186
6.7,0.99843
6.8,0.9981
6.9,0.99925
7.0,1.00071
7.1,1.00183
7.2,0.99959
7.3,1.00086
7.4,0.9983
7.5,1.00076
7.6,1.00051
7.7,0.99841
7.8,1.00109
7.9,1.0014
8.0,1.0004
8.1,0.99848
8.2,1.00194
8.3,1.00113
8.4,0.99939
8.5,0.99971
8.6,0.99948
8.7,1.00002
8.8,0.99936
8.9,1.0014
9.0,1.00129
9.1,0.99842
9.2,1.00184
9.3,1.00054
9.4,1.00131
9.5,1.00083
9.6,0.99974
9.7,1.00094
9.8,1.00186
9.9,0.99908
10.0,1.00123
10.1,1.00015
10.2,0.99993
10.3,0.99974
10.4,1.00092
10.5,0.99907
10.6,1.00141
10.7,1.00132
10.8,0.99835
10.9,1.00153
11.0,0.99898
11.1,0.99986
11.2,1.00044
11.3,0.99952
11.4,0.99811
11.5,1.0014
11.6,0.99873
11.7,0.99885
11.8,1.00119
11.9,0.99936
12.0,1.00152
12.1,1.0008
12.2,0.9991
12.3,0.99802
12.4,1.00177
12.5,0.9983
12.6,1.00082
12.7,0.99986
12.8,1.00089
12.9,1.00054
13.0,1.00026
13.1,0.9995
13.2,1.00051
13.3,0.99745
13.4,0.99761
13.5,0.99904
13.6,0.99692
13.7,0.99729
13.8,0.99597
13.9,0.99512
14.0,0.99343
14.1,0.99324
14.2,0.98991
14.3,0.98954
14.4,0.98581
14.5,0.9836
14.6,0.98089
14.7,0.97899
14.8,0.97659
14.9,0.97629
15.0,0.97546
15.1,0.97171
15.2,0.97076
15.3,0.97116
15.4,0.9719
15.5,0.97313
15.6,0.97199
15.7,0.9721
15.8,0.97281
15.9,0.97492
16.0,0.97702
16.1,0.97894
16.2,0.98047
16.3,0.98473
16.4,0.98582
16.5,0.99063
16.6,0.9908
16.7,0.99305
16.8,0.99223
16.9,0.99647
17.0,0.99604
17.1,0.99846
17.2,0.99799
17.3,0.99815
17.4,0.99849
17.5,0.99781
17.6,0.99754
17.7,1.0013
17.8,0.99959
17.9,1.00107
18.0,0.99946
18.1,0.9982
18.2,1.00045
18.3,0.99817
18.4,0.99857
18.5,1.00024
18.6,0.99921
18.7,1.00197
18.8,0.99847
18.9,1.00106
19.0,1.00042
19.1,1.00116
19.2,0.9989
19.3,1.00009
19.4,0.9998
19.5,0.99977
19.6,1.00144
19.7,1.00196
19.8,0.99922
19.9,1.00048
20.0,1.00044
20.1,1.00096
20.2,1.00179
20.3,0.99883
20.4,0.99884
20.5,1.00064
20.6,0.99863
20.7,0.9987
20.8,0.9983
20.9,0.99801
21.0,0.9998
21.1,1.00038
21.2,0.99917
21.3,0.99893
21.4,1.00083
21.5,1.00081
21.6,0.99982
21.7,1.00075
21.8,1.0017
21.9,1.00115
22.0,1.0005
22.1,1.00064
22.2,1.00173
22.3,0.9997
22.4,1.00018
22.5,1.00059
22.6,1.00163
22.7,1.00131
22.8,0.99829
22.9,0.99866
23.0,0.99923
23.1,1.001
23.2,1.00028
23.3,0.99915
23.4,0.9985
23.5,1.00075
23.6,1.0008
23.7,1.00177
23.8,1.0
23.9,0.99998
24.0,0.99832
