Time_hr,Relative_Brightness
0.0,0.99816
0.1,0.99973
0.2,0.99929
0.3,0.999
0.4,0.99837
0.5,1.00185
0.6,1.00134
0.7,1.0003
0.8,1.0018
0.9,1.002
1.0,1.00069
1.1,0.99908
1.2,0.99816
1.3,1.00103
1.4,0.99988
1.5,1.00061
1.6,1.00166
1.7,0.99873
1.8,1.00034
1.9,1.00054
2.0,0.99997
2.1,0.99836
2.2,0.99939
2.3,0.99933
2.4,1.00068
2.5,1.00143
2.6,0.99932
2.7,1.00077
2.8,0.99915
2.9,1.00178
3.0,1.00125
3.1,1.0002
3.2,0.99982
3.3,0.99926
3.4,0.99929
3.5,1.00188
3.6,0.99962
3.7,1.00006
3.8,1.00195
3.9,1.00063
4.0,1.00017
4.1,0.99965
4.2,0.99875
4.3,0.99945
4.4,1.00103
4.5,1.0005
4.6,1.00104
4.7,0.99881
4.8,1.0002
4.9,1.00171
5.0,0.99975
5.1,1.00079
5.2,0.99849
5.3,1.00189
5.4,1.00044
5.5,0.99896
5.6,0.99863
5.7,1.0002
5.8,1.00021
5.9,0.99837
6.0,1.00197
6.1,1.00165
6.2,0.99985
6.3,0.99847
6.4,1.00133
6.5,0.99999
6.6,1.00087
6.7,1.00004
6.8,0.99909
6.9,1.00134
7.0,1.00192
7.1,0.99897
7.2,1.00021
7.3,0.99953
7.4,1.00169
7.5,1.00003
7.6,1.00152
7.7,1.00146
7.8,0.9991
7.9,1.00116
8.0,0.99966
8.1,1.00174
8.2,1.00003
8.3,1.00128
8.4,0.99913
8.5,0.99919
8.6,1.00035
8.7,1.002
8.8,0.99996
8.9,0.99859
9.0,1.00015
9.1,0.99938
9.2,1.00021
9.3,1.00017
9.4,0.99982
9.5,0.99929
9.6,0.99875
9.7,1.00079
9.8,1.00029
9.9,0.99893
10.0,1.0011
10.1,0.99817
10.2,1.00098
10.3,1.00082
10.4,1.00125
10.5,0.99954
10.6,1.00065
10.7,1.00128
10.8,1.00192
10.9,0.99998
11.0,0.99815
11.1,1.00001
11.2,1.00036
11.3,1.00148
11.4,1.0015
11.5,0.99976
11.6,1.0001
11.7,0.99983
11.8,1.00089
11.9,0.99964
12.0,1.00062
12.1,0.99862
12.2,0.99988
12.3,1.00188
12.4,0.99935
12.5,1.00077
12.6,1.0006
12.7,1.00141
12.8,1.00141
12.9,1.00144
13.0,0.99952
13.1,0.99927
13.2,1.00087
13.3,1.00104
13.4,1.00149
13.5,0.99814
13.6,0.99827
13.7,1.00052
13.8,1.00168
13.9,1.00199
14.0,1.00099
14.1,0.99974
14.2,0.99839
14.3,1.00053
14.4,1.00149
14.5,0.99977
14.6,1.00078
14.7,1.00161
14.8,0.99818
14.9,1.00118
15.0,0.99917
15.1,0.99949
15.2,0.99856
15.3,1.00009
15.4,1.00022
15.5,1.0011
15.6,0.99857
15.7,0.99816
15.8,1.00126
15.9,1.00016
16.0,0.99852
16.1,1.00104
16.2,0.99774
16.3,0.99873
16.4,0.99755
16.5,0.99713
16.6,0.99562
16.7,0.99819
16.8,0.99787
16.9,0.99617
17.0,0.99319
17.1,0.99336
17.2,0.99195
17.3,0.99186
17.4,0.99101
17.5,0.98913
17.6,0.98748
17.7,0.98903
17.8,0.98575
17.9,0.98597
18.0,0.98604
18.1,0.98495
18.2,0.9864
18.3,0.98673
18.4,0.98892
18.5,0.98683
18.6,0.9904
18.7,0.99007
18.8,0.98955
18.9,0.99177
19.0,0.99331
19.1,0.99457
19.2,0.99276
19.3,0.99588
19.4,0.99625
19.5,0.99859
19.6,0.99673
19.7,0.9993
19.8,0.99896
19.9,0.9983
20.0,0.99971
20.1,0.99987
20.2,1.00026
20.3,1.00056
20.4,1.00041
20.5,1.0012
20.6,1.00041
20.7,1.00154
20.8,1.00054
20.9,0.99921
21.0,0.99974
21.1,1.00031
21.2,1.00092
21.3,0.99836
21.4,0.99918
21.5,1.00099
21.6,0.9987
21.7,0.99853
21.8,1.00016
21.9,1.00189
22.0,1.00012
22.1,1.00165
22.2,1.00132
22.3,0.99903
22.4,1.0013
22.5,0.99993
22.6,1.00123
22.7,1.00099
22.8,0.99935
22.9,0.99846
23.0,1.00185
23.1,0.99856
23.2,1.00187
23.3,1.00144
23.4,1.0009
23.5,1.00192
23.6,1.00187
23.7,1.00122
23.8,0.99946
23.9,1.00116
24.0,0.99806
