Timestamp,Temperature_C,pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Conductivity_uScm
2026-02-01 00:00,17.03,7.39,8.96,4.21,341.35
2026-02-01 01:00,17.46,7.53,8.57,4.1,332.15
2026-02-01 02:00,17.7,7.42,9.03,4.48,332.0
2026-02-01 03:00,17.83,7.52,8.64,5.08,331.98
2026-02-01 04:00,18.1,7.34,8.72,5.02,342.22
2026-02-01 05:00,17.6,7.39,8.89,6.06,341.02
2026-02-01 06:00,17.95,7.47,8.54,5.86,324.95
2026-02-01 07:00,18.09,7.37,9.0,5.51,326.44
2026-02-01 08:00,18.12,7.54,8.94,5.62,328.35
2026-02-01 09:00,18.23,7.54,8.63,5.92,317.07
2026-02-01 10:00,17.89,7.5,8.73,6.1,320.81
2026-02-01 11:00,18.24,7.26,8.88,5.39,309.0
2026-02-01 12:00,18.14,7.27,8.88,5.07,306.88
2026-02-01 13:00,18.29,7.35,8.49,5.56,299.98
2026-02-01 14:00,18.15,7.29,8.5,4.4,299.39
2026-02-01 15:00,17.85,7.26,8.47,4.64,297.27
2026-02-01 16:00,17.41,7.3,8.54,4.17,299.03
2026-02-01 17:00,17.56,7.39,8.96,3.48,289.84
2026-02-01 18:00,17.17,7.53,8.57,3.41,299.83
2026-02-01 19:00,16.99,7.39,9.14,2.19,291.91
2026-02-01 20:00,16.69,7.46,8.89,2.9,284.18
2026-02-01 21:00,16.24,7.43,8.69,1.9,292.38
2026-02-01 22:00,16.44,7.35,9.22,2.04,289.26
2026-02-01 23:00,16.32,7.28,9.06,2.34,292.67
2026-02-02 00:00,16.31,7.47,8.77,1.85,286.68
2026-02-02 01:00,15.85,7.39,8.95,1.5,291.1
2026-02-02 02:00,16.02,7.36,8.77,2.65,287.06
2026-02-02 03:00,16.09,7.28,8.73,2.66,301.12
2026-02-02 04:00,15.85,7.43,9.04,2.47,292.61
2026-02-02 05:00,15.69,7.45,9.17,3.47,305.06
2026-02-02 06:00,16.22,7.43,8.86,3.51,300.06
2026-02-02 07:00,16.05,7.32,8.74,4.24,305.88
2026-02-02 08:00,16.23,7.42,9.14,4.66,319.08
2026-02-02 09:00,16.41,7.43,9.02,4.09,321.91
2026-02-02 10:00,16.57,7.33,8.72,5.28,315.55
2026-02-02 11:00,16.35,7.25,9.16,5.46,320.5
2026-02-02 12:00,16.38,7.44,8.65,5.96,320.87
2026-02-02 13:00,16.8,7.35,8.81,6.15,332.99
2026-02-02 14:00,17.11,7.28,8.58,5.62,333.3
2026-02-02 15:00,17.4,7.33,8.91,6.08,333.0
2026-02-02 16:00,17.27,7.48,8.6,5.99,332.59
2026-02-02 17:00,17.77,7.4,8.87,5.43,336.09
2026-02-02 18:00,17.87,7.25,8.64,5.45,333.2
2026-02-02 19:00,17.73,7.35,8.48,5.84,334.57
2026-02-02 20:00,17.95,7.46,8.75,5.63,344.9
2026-02-02 21:00,17.78,7.51,8.49,4.29,346.47
2026-02-02 22:00,18.47,7.42,8.73,4.72,337.65
2026-02-02 23:00,17.89,7.26,8.65,4.41,339.6
