Timestamp,Temperature_C,pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Conductivity_uScm
2026-02-01 00:00,19.67,7.13,8.29,4.41,335.89
2026-02-01 01:00,19.67,7.01,8.48,4.19,337.18
2026-02-01 02:00,19.66,6.9,8.55,4.35,339.15
2026-02-01 03:00,20.3,6.95,8.6,5.57,342.78
2026-02-01 04:00,19.93,6.89,8.33,5.63,340.19
2026-02-01 05:00,20.41,6.9,8.61,5.76,337.96
2026-02-01 06:00,20.62,6.98,8.68,6.03,333.53
2026-02-01 07:00,20.6,7.11,8.5,5.65,321.6
2026-02-01 08:00,20.52,6.94,8.3,5.57,325.49
2026-02-01 09:00,20.45,6.99,8.18,6.44,315.26
2026-02-01 10:00,20.89,7.11,8.46,5.92,317.95
2026-02-01 11:00,20.6,7.09,8.67,5.64,319.94
2026-02-01 12:00,20.61,6.95,8.41,5.0,304.42
2026-02-01 13:00,20.08,7.12,8.4,5.34,308.01
2026-02-01 14:00,20.01,6.92,8.46,4.63,304.96
2026-02-01 15:00,19.85,6.96,8.39,4.19,298.88
2026-02-01 16:00,20.03,7.09,8.59,3.36,292.12
2026-02-01 17:00,19.91,6.94,8.65,3.65,302.59
2026-02-01 18:00,19.87,6.95,8.57,2.64,291.55
2026-02-01 19:00,19.74,7.06,8.47,2.83,299.26
2026-02-01 20:00,19.02,6.96,8.79,2.79,293.73
2026-02-01 21:00,19.24,7.07,8.7,2.2,292.59
2026-02-01 22:00,18.74,6.96,8.57,1.62,285.43
2026-02-01 23:00,18.99,7.0,8.46,1.48,283.49
2026-02-02 00:00,18.77,6.88,8.81,2.31,297.16
2026-02-02 01:00,18.0,6.95,8.9,1.54,290.3
2026-02-02 02:00,18.01,7.1,8.9,2.52,288.64
2026-02-02 03:00,18.18,6.97,8.82,2.06,295.24
2026-02-02 04:00,18.03,7.07,8.71,2.72,295.61
2026-02-02 05:00,18.46,6.99,8.89,2.87,308.67
2026-02-02 06:00,18.64,6.99,8.53,3.27,305.09
2026-02-02 07:00,18.69,7.1,8.84,3.39,304.0
2026-02-02 08:00,18.54,7.11,8.71,3.77,317.02
2026-02-02 09:00,18.83,6.94,8.8,4.38,321.53
2026-02-02 10:00,18.42,6.98,8.96,4.7,317.82
2026-02-02 11:00,18.76,6.86,8.38,5.38,317.86
2026-02-02 12:00,19.46,6.96,8.28,6.18,330.86
2026-02-02 13:00,19.38,7.09,8.36,5.63,333.84
2026-02-02 14:00,19.62,6.89,8.67,5.97,323.5
2026-02-02 15:00,19.32,6.93,8.78,6.16,337.57
2026-02-02 16:00,19.87,6.88,8.39,5.84,328.83
2026-02-02 17:00,19.96,7.09,8.48,5.51,344.25
2026-02-02 18:00,20.27,6.85,8.48,5.48,333.3
2026-02-02 19:00,20.27,7.03,8.31,5.44,342.38
2026-02-02 20:00,20.11,7.14,8.23,5.26,340.12
2026-02-02 21:00,20.92,7.02,8.32,4.83,341.91
2026-02-02 22:00,20.96,6.93,8.09,4.81,336.49
2026-02-02 23:00,20.79,7.04,8.57,4.33,335.03
