Timestamp,Temperature_C,pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Conductivity_uScm
2026-02-01 00:00,20.94,6.81,8.58,3.61,344.47
2026-02-01 01:00,21.47,6.86,8.4,4.79,332.75
2026-02-01 02:00,21.91,6.79,8.15,4.27,334.18
2026-02-01 03:00,21.51,6.93,8.33,5.77,338.43
2026-02-01 04:00,21.84,6.88,8.09,5.33,340.52
2026-02-01 05:00,22.48,6.75,7.98,5.61,340.12
2026-02-01 06:00,22.5,6.92,8.13,6.53,331.3
2026-02-01 07:00,22.4,6.93,8.22,6.43,332.14
2026-02-01 08:00,22.13,6.83,8.44,6.15,322.51
2026-02-01 09:00,22.16,6.85,8.12,6.17,320.85
2026-02-01 10:00,22.65,6.76,7.91,6.35,316.18
2026-02-01 11:00,22.86,6.73,8.45,6.24,308.18
2026-02-01 12:00,22.5,6.76,8.38,5.63,318.67
2026-02-01 13:00,22.01,6.83,8.43,4.52,301.01
2026-02-01 14:00,22.39,6.76,8.14,4.78,306.28
2026-02-01 15:00,22.16,6.93,8.16,4.61,302.65
2026-02-01 16:00,21.87,6.77,8.37,3.58,292.43
2026-02-01 17:00,21.85,6.8,8.21,3.54,292.28
2026-02-01 18:00,21.28,6.78,8.64,2.81,300.62
2026-02-01 19:00,21.26,6.69,8.56,2.66,298.63
2026-02-01 20:00,21.03,6.68,8.49,2.83,288.12
2026-02-01 21:00,20.76,6.67,8.43,2.64,295.87
2026-02-01 22:00,20.87,6.93,8.48,2.35,290.14
2026-02-01 23:00,20.23,6.71,8.26,2.26,282.68
2026-02-02 00:00,20.44,6.76,8.63,1.97,292.81
2026-02-02 01:00,19.94,6.74,8.81,2.25,292.69
2026-02-02 02:00,20.4,6.9,8.2,2.71,296.27
2026-02-02 03:00,20.09,6.85,8.4,2.83,300.62
2026-02-02 04:00,20.21,6.7,8.75,2.59,305.23
2026-02-02 05:00,19.75,6.69,8.32,2.62,298.68
2026-02-02 06:00,20.32,6.75,8.73,3.89,310.19
2026-02-02 07:00,20.02,6.84,8.53,3.38,304.84
2026-02-02 08:00,20.35,6.8,8.26,4.77,305.95
2026-02-02 09:00,20.58,6.87,8.49,5.07,316.07
2026-02-02 10:00,20.87,6.66,8.12,5.21,319.83
2026-02-02 11:00,20.9,6.88,8.34,5.55,322.06
2026-02-02 12:00,21.07,6.74,8.65,5.65,330.31
2026-02-02 13:00,21.31,6.74,8.09,5.36,327.59
2026-02-02 14:00,21.35,6.71,8.4,5.81,334.91
2026-02-02 15:00,21.75,6.91,8.58,5.65,331.86
2026-02-02 16:00,21.8,6.75,8.26,5.8,332.03
2026-02-02 17:00,21.6,6.74,8.24,6.11,333.74
2026-02-02 18:00,22.38,6.7,8.11,5.89,336.01
2026-02-02 19:00,22.44,6.8,8.22,5.54,336.69
2026-02-02 20:00,21.96,6.93,8.27,5.79,335.44
2026-02-02 21:00,22.31,6.67,8.22,5.32,342.2
2026-02-02 22:00,22.46,6.81,8.41,4.39,345.09
2026-02-02 23:00,22.68,6.88,8.1,3.93,338.84
