Timestamp,Temperature_C,pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Conductivity_uScm,Site,Warning,Temp_Rolling,DO_Change,Sudden_Jump
2026-02-01 00:00:00,17.03,7.39,8.96,4.21,341.35,river_site_A,False,17.03,,False
2026-02-01 01:00:00,17.46,7.53,8.57,4.1,332.15,river_site_A,False,17.245,-0.39000000000000057,False
2026-02-01 02:00:00,17.7,7.42,9.03,4.48,332.0,river_site_A,False,17.396666666666665,0.4599999999999991,False
2026-02-01 03:00:00,17.83,7.52,8.64,5.08,331.98,river_site_A,False,17.66333333333333,-0.3899999999999988,False
2026-02-01 04:00:00,18.1,7.34,8.72,5.02,342.22,river_site_A,False,17.876666666666665,0.08000000000000007,False
2026-02-01 05:00:00,17.6,7.39,8.89,6.06,341.02,river_site_A,False,17.843333333333334,0.16999999999999993,False
2026-02-01 06:00:00,17.95,7.47,8.54,5.86,324.95,river_site_A,False,17.883333333333333,-0.3500000000000014,False
2026-02-01 07:00:00,18.09,7.37,9.0,5.51,326.44,river_site_A,False,17.88,0.46000000000000085,False
2026-02-01 08:00:00,18.12,7.54,8.94,5.62,328.35,river_site_A,False,18.053333333333335,-0.0600000000000005,False
2026-02-01 09:00:00,18.23,7.54,8.63,5.92,317.07,river_site_A,False,18.146666666666665,-0.3099999999999987,False
2026-02-01 10:00:00,17.89,7.5,8.73,6.1,320.81,river_site_A,False,18.08,0.09999999999999964,False
2026-02-01 11:00:00,18.24,7.26,8.88,5.39,309.0,river_site_A,False,18.12,0.15000000000000036,False
2026-02-01 12:00:00,18.14,7.27,8.88,5.07,306.88,river_site_A,False,18.09,0.0,False
2026-02-01 13:00:00,18.29,7.35,8.49,5.56,299.98,river_site_A,False,18.223333333333333,-0.39000000000000057,False
2026-02-01 14:00:00,18.15,7.29,8.5,4.4,299.39,river_site_A,False,18.19333333333333,0.009999999999999787,False
2026-02-01 15:00:00,17.85,7.26,8.47,4.64,297.27,river_site_A,False,18.096666666666668,-0.02999999999999936,False
2026-02-01 16:00:00,17.41,7.3,8.54,4.17,299.03,river_site_A,False,17.80333333333333,0.06999999999999851,False
2026-02-01 17:00:00,17.56,7.39,8.96,3.48,289.84,river_site_A,False,17.606666666666666,0.4200000000000017,False
2026-02-01 18:00:00,17.17,7.53,8.57,3.41,299.83,river_site_A,False,17.38,-0.39000000000000057,False
2026-02-01 19:00:00,16.99,7.39,9.14,2.19,291.91,river_site_A,False,17.24,0.5700000000000003,False
2026-02-01 20:00:00,16.69,7.46,8.89,2.9,284.18,river_site_A,False,16.95,-0.25,False
2026-02-01 21:00:00,16.24,7.43,8.69,1.9,292.38,river_site_A,False,16.64,-0.20000000000000107,False
2026-02-01 22:00:00,16.44,7.35,9.22,2.04,289.26,river_site_A,False,16.456666666666667,0.5300000000000011,False
2026-02-01 23:00:00,16.32,7.28,9.06,2.34,292.67,river_site_A,False,16.333333333333332,-0.16000000000000014,False
2026-02-02 00:00:00,16.31,7.47,8.77,1.85,286.68,river_site_A,False,16.35666666666667,-0.2900000000000009,False
2026-02-02 01:00:00,15.85,7.39,8.95,1.5,291.1,river_site_A,False,16.16,0.17999999999999972,False
2026-02-02 02:00:00,16.02,7.36,8.77,2.65,287.06,river_site_A,False,16.06,-0.17999999999999972,False
2026-02-02 03:00:00,16.09,7.28,8.73,2.66,301.12,river_site_A,False,15.986666666666666,-0.03999999999999915,False
2026-02-02 04:00:00,15.85,7.43,9.04,2.47,292.61,river_site_A,False,15.986666666666666,0.3099999999999987,False
2026-02-02 05:00:00,15.69,7.45,9.17,3.47,305.06,river_site_A,False,15.876666666666667,0.13000000000000078,False
2026-02-02 06:00:00,16.22,7.43,8.86,3.51,300.06,river_site_A,False,15.920000000000002,-0.3100000000000005,False
2026-02-02 07:00:00,16.05,7.32,8.74,4.24,305.88,river_site_A,False,15.986666666666666,-0.11999999999999922,False
2026-02-02 08:00:00,16.23,7.42,9.14,4.66,319.08,river_site_A,False,16.166666666666668,0.40000000000000036,False
2026-02-02 09:00:00,16.41,7.43,9.02,4.09,321.91,river_site_A,False,16.23,-0.120000000000001,False
2026-02-02 10:00:00,16.57,7.33,8.72,5.28,315.55,river_site_A,False,16.403333333333332,-0.29999999999999893,False
2026-02-02 11:00:00,16.35,7.25,9.16,5.46,320.5,river_site_A,False,16.443333333333335,0.4399999999999995,False
2026-02-02 12:00:00,16.38,7.44,8.65,5.96,320.87,river_site_A,False,16.433333333333334,-0.5099999999999998,False
2026-02-02 13:00:00,16.8,7.35,8.81,6.15,332.99,river_site_A,False,16.51,0.16000000000000014,False
2026-02-02 14:00:00,17.11,7.28,8.58,5.62,333.3,river_site_A,False,16.763333333333335,-0.23000000000000043,False
2026-02-02 15:00:00,17.4,7.33,8.91,6.08,333.0,river_site_A,False,17.103333333333335,0.33000000000000007,False
2026-02-02 16:00:00,17.27,7.48,8.6,5.99,332.59,river_site_A,False,17.26,-0.3100000000000005,False
2026-02-02 17:00:00,17.77,7.4,8.87,5.43,336.09,river_site_A,False,17.48,0.2699999999999996,False
2026-02-02 18:00:00,17.87,7.25,8.64,5.45,333.2,river_site_A,False,17.63666666666667,-0.22999999999999865,False
